# MC68020UM.pdf section 8.2.6, MOVE instruction, 506 cells
source,destination,best,cache,worst
"-(an)","-(an)",6,8,10
"-(an)","an",3,7,8
"-(an)","dn",3,7,8
"rn","([b],i)",9,12,14
"rn","([b],i,d16)",11,14,17
"rn","([b],i,d32)",12,15,20
"rn","([d16,b],i)",11,14,17
"rn","([d16,b],i,d16)",13,16,20
"rn","([d16,b],i,d32)",14,17,23
"rn","([d32,b],i)",15,18,22
"rn","([d32,b],i,d16)",17,20,25
"rn","([d32,b],i,d32)",18,21,27
"rn","(an)",3,4,5
"rn","(an)+",4,4,5
"rn","(b)",5,8,10
"rn","(d16,an)",3,5,7
"rn","(d16,an,xn)",6,9,12
"rn","(d16,b)",7,10,14
"rn","(d32,b)",11,14,19
"rn","(d8,an,xn)",4,7,9
"rn","(xxx).l",5,6,9
"rn","(xxx).w",3,4,7
"rn","-(an)",3,5,6
"rn","an",0,2,3
"rn","dn",0,2,3
